@relation TrainingData_1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute MaritalStatus {Single,Married}
@attribute Gender {Female,Male}
@attribute Children {0,1}
@attribute Occupation {Professional,'Skilled Manual',Clerical,Manual,Management}
@attribute HomeOwner {Yes,No}
@attribute Cars {0,1}
@attribute CommuteDistance {'5-10 Miles','10+ Miles','1-2 Miles','0-1 Miles','2-5 Miles'}
@attribute Age {55-69,40-54,25-39,70-84,85-96}
@attribute BikeBuyer {No,Yes}

@data
Single,Female,0,Professional,Yes,1,'5-10 Miles',55-69,No
Single,Female,0,Professional,Yes,1,'5-10 Miles',55-69,No
Married,Male,1,Professional,Yes,1,'10+ Miles',40-54,No
Married,Male,1,Professional,Yes,1,'1-2 Miles',40-54,No
Single,Female,1,'Skilled Manual',Yes,1,'5-10 Miles',40-54,No
Married,Female,1,'Skilled Manual',Yes,1,'10+ Miles',40-54,No
Married,Female,1,'Skilled Manual',Yes,1,'10+ Miles',40-54,No
Married,Male,1,'Skilled Manual',Yes,1,'10+ Miles',40-54,No
Married,Female,1,'Skilled Manual',Yes,1,'5-10 Miles',40-54,No
Married,Female,1,'Skilled Manual',Yes,1,'10+ Miles',40-54,No
Single,Female,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Single,Male,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Female,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Male,0,'Skilled Manual',No,1,'0-1 Miles',25-39,No
Single,Male,0,Clerical,No,1,'5-10 Miles',25-39,No
Single,Male,0,Clerical,No,1,'0-1 Miles',25-39,No
Single,Male,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Female,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Male,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Single,Male,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Male,0,'Skilled Manual',Yes,1,'5-10 Miles',25-39,No
Married,Male,1,'Skilled Manual',Yes,1,'2-5 Miles',40-54,No
Single,Male,1,'Skilled Manual',Yes,1,'2-5 Miles',40-54,No
Single,Female,1,'Skilled Manual',Yes,1,'2-5 Miles',40-54,No
Single,Female,1,'Skilled Manual',No,1,'0-1 Miles',40-54,No
Single,Female,1,'Skilled Manual',No,1,'0-1 Miles',40-54,No
Single,Male,1,'Skilled Manual',No,1,'0-1 Miles',40-54,No
Married,Male,1,Manual,Yes,1,'0-1 Miles',25-39,No
Married,Female,1,Manual,Yes,1,'0-1 Miles',25-39,No
Married,Female,1,Manual,Yes,0,'0-1 Miles',25-39,No
Married,Female,1,'Skilled Manual',Yes,1,'0-1 Miles',40-54,No
Married,Male,1,'Skilled Manual',Yes,1,'0-1 Miles',40-54,No
Married,Female,1,'Skilled Manual',Yes,1,'0-1 Miles',40-54,No
Married,Male,1,Manual,Yes,1,'0-1 Miles',40-54,No
Single,Male,1,Manual,No,0,'0-1 Miles',40-54,No
Single,Female,1,Manual,No,1,'0-1 Miles',40-54,No
Single,Male,1,Manual,Yes,1,'0-1 Miles',40-54,No
Married,Male,1,Manual,Yes,1,'0-1 Miles',40-54,No
Married,Male,1,'Skilled Manual',Yes,1,'0-1 Miles',40-54,No
Single,Male,0,Manual,No,1,'0-1 Miles',70-84,No
